LocationType,Location,TimeFrame,DataFormat,Data
County,Benton,2016,Percent,0.56899
County,Benton,2017,Number,444
County,Benton,2017,Percent,0.53688
County,Benton,2018,Number,491
County,Benton,2018,Percent,0.60172
County,Benton,2019,Number,364
County,Benton,2019,Percent,0.44608
County,Bledsoe,1999,Percent,0.331
County,Bledsoe,2000,Percent,0.353
County,Bledsoe,2001,Percent,0.294
County,Bledsoe,2002,Percent,0.312
County,Bledsoe,2003,Percent,0.303
County,Bledsoe,2004,Percent,0.322
County,Bledsoe,2005,Percent,0.338
County,Bledsoe,2006,Percent,0.335
County,Bledsoe,2007,Percent,0.36986
County,Bledsoe,2008,Percent,0.38179
County,Bledsoe,1999,Number,240
County,Bledsoe,2000,Number,257
County,Bledsoe,2001,Number,263
County,Bledsoe,2002,Number,280
County,Bledsoe,2003,Number,275
County,Bledsoe,2004,Number,294
County,Bledsoe,2005,Number,312
County,Bledsoe,2006,Number,312
County,Bledsoe,2007,Number,297
County,Bledsoe,2008,Number,309
County,Bledsoe,2009,Number,287
County,Bledsoe,2009,Percent,0.3501
County,Bledsoe,2015,Number,357
County,Bledsoe,2015,Percent,0.65625
County,Bledsoe,2014,Number,307
County,Bledsoe,2014,Percent,0.55616
County,Bledsoe,2013,Number,356
County,Bledsoe,2013,Percent,0.65926
County,Bledsoe,2012,Number,385
County,Bledsoe,2012,Percent,0.63847
County,Bledsoe,2011,Number,418
County,Bledsoe,2011,Percent,0.66561
County,Bledsoe,2010,Number,414
County,Bledsoe,2010,Percent,0.64286
County,Bledsoe,2016,Number,347
County,Bledsoe,2016,Percent,0.56423
County,Bledsoe,2017,Number,330
County,Bledsoe,2017,Percent,0.52885
County,Bledsoe,2018,Number,299
County,Bledsoe,2018,Percent,0.5
County,Bledsoe,2019,Number,257
County,Bledsoe,2019,Percent,0.42977
County,Blount,1999,Percent,0.18
County,Blount,2000,Percent,0.167
County,Blount,2001,Percent,0.179
County,Blount,2002,Percent,0.192
County,Blount,2003,Percent,0.203
County,Blount,2004,Percent,0.209
County,Blount,2005,Percent,0.204
County,Blount,2006,Percent,0.203
County,Blount,2007,Percent,0.19135
County,Blount,2008,Percent,0.21345
County,Blount,1999,Number,1376
County,Blount,2000,Number,1296
County,Blount,2001,Number,1357
County,Blount,2002,Number,1451
County,Blount,2003,Number,1545
County,Blount,2004,Number,1609
County,Blount,2005,Number,1582
County,Blount,2006,Number,1583
County,Blount,2007,Number,1557
County,Blount,2008,Number,1751
County,Blount,2009,Number,1877
County,Blount,2009,Percent,0.227
County,Blount,2015,Number,2219
County,Blount,2015,Percent,0.34186
County,Blount,2014,Number,2229
County,Blount,2014,Percent,0.34698
County,Blount,2013,Number,2498
County,Blount,2013,Percent,0.38687
County,Blount,2012,Number,2543
County,Blount,2012,Percent,0.38848
County,Blount,2011,Number,2410
County,Blount,2011,Percent,0.36035
County,Blount,2010,Number,2609
County,Blount,2010,Percent,0.38093
County,Blount,2016,Number,2083
County,Blount,2016,Percent,0.31556
County,Blount,2017,Number,1842
County,Blount,2017,Percent,0.28054
County,Blount,2018,Number,1956
County,Blount,2018,Percent,0.29695
County,Blount,2019,Number,1736
County,Blount,2019,Percent,0.26355
County,Bradley,1999,Percent,0.238
County,Bradley,2000,Percent,0.233
County,Bradley,2001,Percent,0.233
County,Bradley,2002,Percent,0.246
County,Bradley,2003,Percent,0.252
County,Bradley,2004,Percent,0.26
County,Bradley,2005,Percent,0.27
County,Bradley,2006,Percent,0.269
County,Bradley,2007,Percent,0.2654
County,Bradley,2008,Percent,0.27989
County,Bradley,1999,Number,1567
County,Bradley,2000,Number,1553
County,Bradley,2001,Number,1633
County,Bradley,2002,Number,1745
County,Bradley,2003,Number,1813
County,Bradley,2004,Number,1892
County,Bradley,2005,Number,1986
County,Bradley,2006,Number,1988
County,Bradley,2007,Number,1904
County,Bradley,2008,Number,2020
County,Bradley,2009,Number,2082
County,Bradley,2009,Percent,0.2867
County,Bradley,2015,Number,2542
County,Bradley,2015,Percent,0.42816
County,Bradley,2014,Number,2616
County,Bradley,2014,Percent,0.45205
County,Bradley,2013,Number,2891
County,Bradley,2013,Percent,0.49819
County,Bradley,2012,Number,2942
County,Bradley,2012,Percent,0.50944
County,Bradley,2011,Number,2883
County,Bradley,2011,Percent,0.48864
County,Bradley,2010,Number,3248
County,Bradley,2010,Percent,0.54142
County,Bradley,2016,Number,2468
County,Bradley,2016,Percent,0.40814
County,Bradley,2017,Number,2339
County,Bradley,2017,Percent,0.39094
County,Bradley,2018,Number,2195
County,Bradley,2018,Percent,0.35778
