LocationType,Location,TimeFrame,DataFormat,Data
County,Putnam,2010,Currency,809.0
County,Putnam,2011,Currency,809.0
County,Putnam,2012,Currency,773.0
County,Putnam,2013,Currency,854.0
County,Putnam,2014,Currency,855.0
County,Putnam,2015,Currency,851.0
County,Putnam,2016,Currency,899.0
County,Putnam,2017,Currency,847.0
County,Putnam,2018,Currency,948.0
County,Putnam,2019,Currency,952.0
County,Rutherford,1997,Currency,815.0
County,Rutherford,1998,Currency,837.0
County,Rutherford,1999,Currency,853.0
County,Rutherford,2000,Currency,858.0
County,Rutherford,2001,Currency,873.0
County,Rutherford,2002,Currency,898.0
County,Rutherford,2003,Currency,921.0
County,Rutherford,2004,Currency,924.0
County,Rutherford,2005,Currency,854.0
County,Rutherford,2006,Currency,864.0
County,Rutherford,2007,Currency,899.0
County,Rutherford,2008,Currency,938.0
County,Rutherford,2009,Currency,987.0
County,Rutherford,2010,Currency,1047.0
County,Rutherford,2011,Currency,1067.0
County,Rutherford,2012,Currency,974.0
County,Rutherford,2013,Currency,1089.0
County,Rutherford,2014,Currency,1131.0
County,Rutherford,2015,Currency,1130.0
County,Rutherford,2016,Currency,1228.0
County,Rutherford,2017,Currency,1274.0
County,Rutherford,2018,Currency,1327.0
County,Rutherford,2019,Currency,1455.0
County,Williamson,1997,Currency,815.0
County,Williamson,1998,Currency,837.0
County,Williamson,1999,Currency,853.0
County,Williamson,2000,Currency,858.0
County,Williamson,2001,Currency,873.0
County,Williamson,2002,Currency,898.0
County,Williamson,2003,Currency,921.0
County,Williamson,2004,Currency,924.0
County,Williamson,2005,Currency,854.0
County,Williamson,2006,Currency,864.0
County,Williamson,2007,Currency,899.0
County,Williamson,2008,Currency,938.0
County,Williamson,2009,Currency,987.0
County,Williamson,2010,Currency,1047.0
County,Williamson,2011,Currency,1067.0
County,Williamson,2012,Currency,974.0
County,Williamson,2013,Currency,1089.0
County,Williamson,2014,Currency,1131.0
County,Williamson,2015,Currency,1130.0
County,Williamson,2016,Currency,1228.0
County,Williamson,2017,Currency,1274.0
County,Williamson,2018,Currency,1327.0
County,Williamson,2019,Currency,1455.0
County,Wilson,1997,Currency,815.0
County,Wilson,1998,Currency,837.0
County,Wilson,1999,Currency,853.0
County,Wilson,2000,Currency,858.0
County,Wilson,2001,Currency,873.0
County,Wilson,2002,Currency,898.0
County,Wilson,2003,Currency,921.0
County,Wilson,2004,Currency,924.0
County,Wilson,2005,Currency,854.0
County,Wilson,2006,Currency,864.0
County,Wilson,2007,Currency,899.0
County,Wilson,2008,Currency,938.0
County,Wilson,2009,Currency,762.83158
County,Wilson,2010,Currency,1047.0
County,Wilson,2011,Currency,1067.0
County,Wilson,2012,Currency,974.0
County,Wilson,2013,Currency,1089.0
County,Wilson,2014,Currency,1131.0
County,Wilson,2015,Currency,1130.0
County,Wilson,2016,Currency,1228.0
County,Wilson,2017,Currency,1274.0
County,Wilson,2018,Currency,1327.0
County,Wilson,2019,Currency,1455.0
