Partners,Date,NB,1,2,3,4,5,6,Pullups,Total,Running Total,Ever to Date,Year to Date,,
Camp Widjiwagan YMCA,6/2/2020,75,75,75,150,150,150,150,,825,20825,3139321,"622,122",85714,
Cole Elementary,6/2/2020,100,150,150,150,350,350,350,,1600,22425,3140921,,0.137776835,
Lakeview Elementary,6/2/2020,200,150,200,150,150,150,150,,1150,23575,3142071,,,
Antioch High School,6/2/2020,225,300,300,550,600,650,650,,3275,26850,3145346,,,
Paragon Mills Elementary,6/2/2020,200,300,200,300,300,300,300,,1900,28750,3147246,,,
McGavock High School,6/3/2020,200,300,450,700,750,750,750, ,3900,32650,3151146,,,
McKissick Middle School,6/3/2020,200,150,200,200,200,200,200,,1350,32650,3151146,,,
Creswell Middle Prep,6/3/2020,0,0,0,150,0,150,200,,500,33150,3151646,,,
Shwab Elementary School,6/3/2020,75,75,75,150,200,150,200,,925,34075,3152571,,,
McGruder Family Resource Center,6/3/2020,0,0,0,0,0,400,400,,800,34875,3153371,,,
Madison Middle School,6/4/2020,0,0,200,300,400,400,450,,1750,36625,3155121,,,
Dupont Elementary School,6/4/2020,100,150,175,150,200,200,200,,1175,37800,3156296,,,
Stratford High School,6/4/2020,100,150,150,300,300,300,300,,1600,39400,3157896,,,
Two Rivers Middle School,6/4/2020,100,150,200,300,300,300,300,,1650,41050,3159546,,,
Napier Elementary,6/4/2020,100,150,150,300,300,300,300,,1600,42650,3161146,,,
Rose Park Middle School,6/4/2020,0,0,0,0,300,300,300,,900,43550,3162046,,,
NICE Highlands Apartments,6/4/2020,400,450,600,750,600,700,750,,4250,47800,3166296,,,
Glenview Elementary,6/8/2020,200,200,200,600,600,700,600,,3100,50900,3169396,,,
Hillwood High School,6/8/2020,100,100,200,400,600,750,650,,2800,53700,3172196,,,
Glencliff High School,6/8/2020,300,400,500,600,700,750,650,,3900,57600,3176096,,,
Haywood Elementary,6/9/2020,400,450,500,600,700,700,600,,3950,61550,3180046,,,
Paragon Mills Elementary,6/9/2020,250,200,200,300,300,400,450,,2100,63650,3182146,,,
Cole Elementary,6/9/2020,100,100,100,150,250,250,250,,1200,64850,3183346,,,
Antioch High School,6/9/2020,300,300,300,500,600,650,600,,3250,68100,3186596,,,
Lakeview Elementary,6/9/2020,0,0,0,200,300,300,300,,1100,69200,3187696,,,
Camp Widjiwagan YMCA,6/9/2020,75,75,75,150,200,150,200,,925,70125,3188621,,,
Glengarry Elementary,6/9/2020,75,75,75,150,200,150,200,,925,71050,3189546,,,
YWCA,6/9/2020,0,0,0,0,300,300,0,,600,71650,3190146,,,
McGavock High School,6/10/2020,200,200,500,650,700,750,750,,3750,75400,3193896,,,
Buena Vista Elementary,6/10/2020,75,75,75,150,150,150,100,,775,76175,3194671,,,
Shwab Elementary School,6/10/2020,75,75,75,100,100,100,100,,625,76800,3195296,,,
Creswell Middle Prep,6/10/2020,75,75,75,200,200,200,200,,1025,77825,3196321,,,
McKissick Middle School,6/10/2020,375,425,375,500,500,500,500,,3175,81000,3199496,,,
Martha O'Bryan,6/10/2020,0,0,0,0,600,600,600,,1800,82800,3201296,,,
McGruder Family Resource Center,6/10/2020,0,0,0,300,0,0,0,,300,83100,3201596,,,
Legacy Mission Village,6/10/2020,512,648,736,1280,2592,2480,2250,,10498,93598,3212094,"895,444",,
Connectus Priest Lake,6/10/2020,500,600,600,600,600,600,600,,4100,97698,3216194,,,
John Early Museum Magnet MS,6/11/2020,100,250,200,200,200,200,200,,1350,99048,3217544,"900,894",,
Kipp Kirkpatrick Elementary,6/15/2020,75,75,200,300,300,400,400,,1750,100798,3219294,,,
Martha O'Bryan,6/15/2020,0,0,0,0,800,750,750,,2300,103098,3221594,,,
Hillwood High School,6/15/2020,0,100,100,200,600,750,600,,2350,105448,3223944,,,
Glencliff High School,6/15/2020,400,450,500,600,700,750,600,,4000,109448,3227944,,,
Glenview Elementary,6/15/2020,250,225,200,400,400,600,600,,2675,112123,3230619,,,
Andrea Hollis,6/15/2020,,,,,100,,,,100,112223,3230719,,,
Haywood Elementary,6/16/2020,250,400,500,600,600,600,600,,3550,115773,3234269,,,
Paragon Mills Elementary,6/16/2020,100,200,200,300,300,300,300,,1700,117473,3235969,,,
Cole Elementary,6/16/2020,75,75,75,200,300,350,350,,1425,118898,3237394,,,
Antioch High School,6/16/2020,300,300,300,500,600,650,600,,3250,122148,3240644,,,
Lakeview Elementary,6/16/2020,75,75,75,100,150,200,200,,875,123023,3241519,,,
Camp Widjiwagan YMCA,6/16/2020,75,75,75,150,150,150,100,,775,123798,3242294,,,
Glengarry Elementary,6/16/2020,75,75,75,150,150,150,100,,775,124573,3243069,,,
McGavock High School,6/17/2020,200,200,450,600,600,600,600,,3250,127823,3246319,,,
McKissick Middle School,6/17/2020,150,250,350,200,200,200,200,,1550,129373,3247869,,,
H G Hill Middle School,6/17/2020,75,75,75,150,150,200,150,,875,130248,3248744,,,
Creswell Middle Prep,6/17/2020,100,0,0,150,150,200,100,,700,130948,3249444,,,
Shwab Elementary School,6/17/2020,0,0,0,150,150,200,100,,600,131548,3250044,,,
Buena Vista Elementary,6/17/2020,75,75,75,150,150,200,100,,825,132373,3250869,,,
NICE Highlands Apartments,6/17/2020,400,400,600,750,600,750,750,,4250,136623,3255119,,,
Legacy Mission Village,6/17/2020,512,648,736,1280,2592,2480,2250,,10498,147121,3265617,"958,092","41,908",
Madison Middle School,6/18/2020,0,125,100,400,375,400,400,,1800,148921,3267417,,,
Dupont Elementary School,6/18/2020,75,75,75,400,400,400,350,,1775,150696,3269192,,,
Stratford High School,6/18/2020,200,200,200,300,300,300,300,,1800,152496,3270992,,,
Two Rivers Middle School,6/18/2020,150,150,150,300,300,300,300,,1650,154146,3272642,,,
Napier Elementary,6/18/2020,100,200,200,300,300,300,300,,1700,155846,3274342,,,
Rose Park Middle School,6/18/2020,0,0,0,0,0,200,200,,400,156246,3274742,,,
Hillwood High School,6/22/2020,400,400,500,600,700,750,750,,4100,160346,3278842,,,
Glencliff High School,6/22/2020,300,400,500,600,700,700,750,,3950,164296,3282792,,,
Haywood Elementary,6/23/2020,400,400,500,600,700,700,750,,4050,168346,3286842,,,
Cole Elementary,6/23/2020,200,200,300,300,300,300,250,,1850,170196,3288692,,,
Antioch High School,6/23/2020,200,300,300,500,600,650,650,,3200,173396,3291892,,,
Lakeview Elementary,6/23/2020,100,125,100,150,250,250,250,,1225,174621,3293117,,,
Connectus Priest Lake,6/23/2020,250,600,600,600,600,600,600,,3850,178471,3296967,"26,725",,
Connectus Vine Hill,6/23/2020,400,600,600,700,700,750,750,,4500,182971,3301467,"34,225",,
McGavock High School,6/24/2020,200,200,450,600,750,700,750,,3650,186621,3305117,,,
H G Hill Middle School,6/24/2020,75,75,75,150,150,150,100,,775,187396,3305892,,,
Shwab Elementary School,6/24/2020,0,0,0,150,300,250,250,,950,188346,3306842,,,
Creswell Middle Prep,6/24/2020,0,0,0,200,200,200,200,,800,189146,3307642,,,
McKissick Middle School,6/24/2020,0,125,100,200,200,200,200,,1025,190171,3308667,,,
Buena Vista Elementary,6/24/2020,100,100,100,200,200,200,100,,1000,191171,3309667,,,
Rose Park Middle School,6/24/2020,0,200,200,0,0,0,0,,400,191571,3310067,,,
Monroe Harding,6/24/2020,0,225,375,750,400,900,500,424,3574,195145,3313641,,,
John Early Museum Magnet MS,6/25/2020,200,200,400,600,600,600,600,,3200,198345,3316841,,,
Hispanic Family Foundation,6/25/2020,400,600,600,800,700,950,950,,5000,203345,3321841,"1,005,191",,
Haywood Elementary,6/29/2020,450,450,500,600,700,750,650,,4100,207445,3325941,,,
Cole Elementary,6/29/2020,75,75,75,150,300,250,250,,1175,208620,3327116,,,
Antioch High School,6/29/2020,200,300,300,500,600,600,600,,3100,211720,3330216,,,
Lakeview Elementary,6/29/2020,0,0,0,150,200,200,200,,750,212470,3330966,,,
Glencliff High School,6/29/2020,400,375,475,600,700,750,600,,3900,216370,3334866,,,
Hillwood High School,6/29/2020,100,150,300,400,600,600,600,,2750,219120,3337616,,,
Martha O'Bryan,6/29/2020,0,0,0,0,800,800,750,,2350,221470,3339966,,,
Connectus Vine Hill,6/30/2020,100,300,425,550,250,1600,1350,,4575,226045,3344541,,,
Legacy Mission Village,6/30/2020,0,0,0,0,0,0,1450,,1450,227495,3345991,"1,029,341",,"227,495"
McGavock High School,7/1/2020,300,200,450,650,750,750,750,,3850,3850,3349841,"790,125",189630,4549.9
H G Hill Middle School,7/1/2020,0,0,0,100,100,100,100,,400,4250,3350241,98,,
Buena Vista Elementary,7/1/2020,0,100,100,125,200,200,150,,875,5125,3351116,,,
Shwab Elementary School,7/1/2020,0,100,100,125,200,200,200,,925,6050,3352041,,,
Creswell Middle Prep,7/1/2020,0,100,100,125,100,100,100,,625,6675,3352666,,,
McKissick Middle School,7/1/2020,0,0,0,100,100,100,200,,500,7175,3353166,,,
Madison Middle School,7/2/2020,150,150,150,400,600,600,600,,2650,9825,3355816,,,
Dupont Elementary School,7/2/2020,150,150,150,400,600,600,600,,2650,12475,3358466,,,
Stratford High School,7/2/2020,150,150,150,300,400,400,600,,2150,14625,3360616,,,
Two Rivers Middle School,7/2/2020,150,150,150,300,400,400,400,,1950,16575,3362566,,,
Napier Elementary,7/2/2020,200,200,200,300,400,400,400,,2100,18675,3364666,,34000175,
Rose Park Middle School,7/2/2020,75,75,75,150,200,200,200,,975,19650,3365641,,,
NICE Highlands Apartments,7/2/2020,400,500,600,800,800,800,800,,4700,24350,3370341,"818,117","134,814",
Hillwood High School,7/6/2020,200,300,400,600,600,600,600,,3300,27650,3373641,,,
Glencliff High School,7/6/2020,400,450,450,600,750,750,600,,4000,31650,3377641,"825,417",,
Haywood Elementary,7/7/2020,0,400,500,600,700,700,600,,3500,35150,3381141,,,
Antioch High School,7/7/2020,200,300,300,500,600,600,600,,3100,38250,3384241,,,
Lakeview Elementary,7/7/2020,150,200,200,250,250,200,200,,1450,39700,3385691,,,
Connectus Priest Lake,7/7/2020,0,0,0,0,600,0,0,,600,40300,3386291,67725.82,"1,069,641",
McGruder Family Resource Center,7/8/2020,0,0,0,200,250,250,250,,950,41250,3387241,,,
McGavock High School,7/8/2020,0,200,400,600,700,850,850,,3600,44850,3390841,,,
H G Hill Middle School,7/8/2020,0,0,100,0,0,200,200,,500,45350,3391341,,,
Buena Vista Elementary,7/8/2020,0,100,100,125,150,200,200,,875,46225,3392216,,,
Shwab Elementary School,7/8/2020,0,100,100,150,150,200,200,,900,47125,3393116,,,
Creswell Middle Prep,7/8/2020,0,0,100,0,150,200,200,,650,47775,3393766,,,
McKissick Middle School,7/8/2020,0,0,100,150,150,150,150,,700,48475,3394466,"842,242",,
Legacy Mission Village,7/9/2020,576,576,736,1280,2576,3984,4002,,13730,62205,3408196,"1,091,546",,
Antioch High School,7/13/2020,200,300,300,500,600,650,600,,3150,65355,3411346,,,
Hillwood High School,7/13/2020,100,200,300,400,600,600,600,,2800,68155,3414146,,"62,205",
Glencliff High School,7/13/2020,300,400,500,600,600,750,750,,3900,72055,3418046,,,
Haywood Elementary,7/13/2020,0,400,500,600,600,750,750,,3600,75655,3421646,,,
Lakeview Elementary,7/13/2020,0,100,100,125,150,150,150,,775,76430,3422421,,,
Martha O'Bryan,7/13/2020,0,0,0,0,800,750,850,,2400,78830,3424821,,,
YWCA,7/14/2020,0,0,0,375,0,0,300,,675,79505,3425496,,,
McGavock High School,7/15/2020,200,200,450,600,600,750,750,,3550,83055,3429046,,,
H G Hill Middle School,7/15/2020,0,100,100,100,0,100,100,,500,83555,3429546,,,
Buena Vista Elementary,7/15/2020,150,125,100,100,100,100,100,,775,84330,3430321,,,
Creswell Middle Prep,7/15/2020,0,0,100,0,150,100,150,,500,84830,3430821,,,
McKissick Middle School,7/15/2020,0,100,100,100,150,100,150,,700,85530,3431521,,,
Shwab Elementary School,7/15/2020,0,125,100,100,150,100,150,,725,86255,3432246,,,
Madison Middle School,7/16/2020,75,200,175,400,400,500,500,,2250,88505,3434496,,,
Dupont Elementary School,7/16/2020,75,200,175,400,400,500,500,,2250,90755,3436746,,,
Stratford High School,7/16/2020,75,200,175,300,400,400,400,,1950,92705,3438696,,,
Two Rivers Middle School,7/16/2020,0,0,150,300,300,400,400,,1550,94255,3440246,,,
Napier Elementary,7/16/2020,75,200,175,400,400,500,500,,2250,96505,3442496,,,
NICE Highlands Apartments,7/16/2020,400,500,600,750,750,800,850,,4650,101155,3447146,,,
Legacy Mission Village,7/16/2020,576,576,736,1200,2592,2496,2254,,10430,111585,3457576,,,
Andrea Hollis,7/17/2020,,,,,150,,,,150,111735,3457726,"1,141,076","32,945",
Haywood Elementary,7/20/2020,0,400,500,600,600,700,700,,3500,115235,3461226,,,
Antioch High School,7/20/2020,200,300,300,500,600,600,600,,3100,118335,3464326,,,
Lakeview Elementary,7/20/2020,0,150,150,150,150,200,300,,1100,119435,3465426,,,
Glencliff High School,7/20/2020,250,400,500,600,600,600,600,,3550,122985,3468976,,,
Connectus Priest Lake,7/20/2020,0,0,0,0,0,0,600,,600,123585,3469576,,,
Hillwood High School,7/20/2020,0,200,400,400,600,600,600,,2800,126385,3472376,,,
Connectus Vine Hill,7/21/2020,0,0,0,0,700,750,0,,1450,127835,3473826,,,
Catholic Charities,7/21/2020,650,700,700,1000,1000,1000,1000,,6050,133885,3479876,"1,163,226",,
McGavock High School,7/22/2020,200,200,450,600,600,800,750,,3600,137485,3483476,,,
McKissick Middle School,7/22/2020,200,225,0,400,200,200,200,,1425,138910,3484901,,,
Shwab Elementary School,7/22/2020,75,75,75,150,150,200,125,,850,139760,3485751,,,
Connectus Vine Hill,7/22/2020,0,0,0,0,700,750,0,,1450,141210,3487201,,,
Monroe Harding,7/22/2020,200,0,0,450,600,600,1250,370,3470,144680,3490671,,,
Hispanic Family Foundation,7/23/2020,300,400,500,800,800,1200,1000,,5000,149680,3495671,"1,179,021",,
Lakeview Elementary,7/27/2020,0,275,300,300,275,300,300,,1750,151430,3497421,,,
Glencliff High School,7/27/2020,200,400,500,600,600,600,600,,3500,154930,3500921,,,
Haywood Elementary,7/27/2020,0,425,500,600,600,600,600,,3325,158255,3504246,,,
Cole Elementary,7/27/2020,0,200,200,200,300,300,300,,1500,159755,3505746,,,
Antioch High School,7/27/2020,0,375,300,600,600,600,600,,3075,162830,3508821,,,
Hillwood High School,7/27/2020,0,200,300,600,600,600,600,,2900,165730,3511721,,,
Martha O'Bryan,7/27/2020,0,0,0,0,600,600,600,,1800,167530,3513521,,,
Stratford High School,7/29/2020,0,200,200,200,200,200,200,,1200,168730,3514721,,,
Shwab Elementary School,7/29/2020,0,100,100,200,200,200,200,,1000,169730,3515721,,,
McGavock High School,7/29/2020,0,250,450,600,600,600,600,,3100,172830,3518821,,0.004337433,
Glenview Elementary,7/30/2020,0,300,400,600,600,700,700,,3300,176130,3522121,,,
NICE Highlands Apartments,7/30/2020,200,400,600,600,600,800,800,,4000,180130,3526121,"1,209,471",,"180,130"
Haywood Elementary,8/3/2020,200,300,400,600,600,600,600,,3300,3300,3529421,,,3602.6
Antioch High School,8/3/2020,200,400,500,600,600,600,600,,3500,6800,3532921,,,74
BlueCross BlueShield of Tennessee,8/3/2020,,,2500,,,1250,,,3750,10550,3536671,,,
Glencliff High School,8/3/2020,200,300,400,600,600,600,600,,3300,13850,3539971,,"13,850",
Catholic Charities,8/4/2020,650,700,700,1000,1000,1000,1000,,6050,19900,3546021,,,
Hillwood High School,8/4/2020,0,200,300,400,600,600,600,,2700,22600,3548721,,,
McGavock High School,8/5/2020,0,400,500,500,600,600,600,,3200,25800,3551921,,,
Connectus Priest Lake,8/6/2020,0,0,0,300,500,500,500,,1800,27600,3553721,,,
Legacy Mission Village,8/6/2020,576,576,736,1200,2496,2464,2460,,10508,38108,3564229,,,
Hispanic Family Foundation,8/6/2020,200,400,600,800,800,1200,1000,,5000,43108,3569229,,,
Connectus Vine Hill,8/7/2020,200,200,500,475,850,1300,1250,,4775,47883,3574004,,71480.08,
Hillwood High School,8/10/2020,0,400,400,450,600,600,600,,3050,50933,3577054,,,
Haywood Elementary,8/10/2020,0,400,400,500,600,600,600,,3100,54033,3580154,,,
Antioch High School,8/10/2020,150,300,300,450,600,600,600,,3000,57033,3583154,,,
Glencliff High School,8/10/2020,150,400,400,500,600,600,600,,3250,60283,3586404,,,
Matthew Walker Comprehensive Health Center,8/11/2020,75,75,275,375,250,550,525,,2125,62408,3588529,,,
Matthew Walker Comprehensive Health Center,8/11/2020,225,325,225,125,550,250,275,,1975,64383,3590504,,,
McGavock High School,8/12/2020,0,400,450,500,600,600,600,,3150,67533,3593654,,,
Jones Paideia Elementary Magnet School,8/12/2020,0,200,200,300,300,300,350,,1650,69183,3595304,,,
Shwab Elementary School,8/12/2020,0,200,200,300,300,300,350,,1650,70833,3596954,,,
Stratford High School,8/13/2020,0,200,200,300,300,300,375,,1675,72508,3598629,,,
Tom Joy Elementary,8/13/2020,150,300,300,300,300,300,300,,1950,74458,3600579,,,
Legacy Mission Village,8/13/2020,432,648,750,1200,2520,2576,2520,,10646,85104,3611225,,294048,
NICE Highlands Apartments,8/13/2020,200,500,600,700,900,1000,1000,,4900,90004,3616125,,,
Martha O'Bryan,8/14/2020,0,0,0,0,600,600,625,,1825,91829,3617950,,,
Nikki Mitchell Foundation,8/17/2020,0,0,0,0,0,100,100,,200,92029,3618150,,,
Haywood Elementary,8/17/2020,0,400,500,600,700,700,700,,3600,95629,3621750,,,
Antioch High School,8/17/2020,0,400,500,600,600,700,700,,3500,99129,3625250,,,
Glencliff High School,8/17/2020,0,400,500,600,600,700,700,,3500,102629,3628750,,,
Meharry Pediatric Clinic,8/17/2020,300,300,300,300,300,300,200,,2000,104629,3630750,,,
Ida B Wells Elementary,8/18/2020,0,300,300,200,300,300,300,,1700,106329,3632450,,,
Hillwood High School,8/18/2020,0,400,400,500,600,700,700,,3300,109629,3635750,,,
Monroe Harding,8/18/2020,150,0,0,300,300,450,1375,412,2987,112616,3638737,,,
Nurses for Newborns,8/18/2020,250,0,0,0,0,0,0,,250,112866,3638987,,,
Donelson Middle School,8/18/2020,0,200,300,200,200,300,200,,1400,114266,3640387,,,
McGavock High School,8/19/2020,0,400,400,600,700,700,750,,3550,117816,3643937,,,
Jean Crowe Advocacy Center,8/19/2020,0,0,0,0,0,200,200,200,600,118416,3644537,"1,327,887",,
Connectus Vine Hill,8/19/2020,0,0,600,0,600,600,600,,2400,120816,3646937,,,
Connectus Priest Lake,8/19/2020,0,0,525,600,600,600,600,,2925,123741,3649862,,,
Safe Room,8/19/2020,0,0,0,0,0,0,0,84,84,123825,3649946,,,
Catholic Charities,8/20/2020,650,700,700,1000,1000,1000,1000,,6050,129875,3655996,,,
Woodmont Baptist Church,8/24/2020,0,0,0,0,200,200,200,,600,130475,3656596,,,
Haywood Elementary,8/24/2020,0,400,500,600,600,600,700,,3400,133875,3659996,,,
Antioch High School,8/24/2020,0,400,500,600,600,600,700,,3400,137275,3663396,,,
Glencliff High School,8/24/2020,0,400,500,600,600,600,700,,3400,140675,3666796,,,
Hillwood High School,8/25/2020,0,275,500,600,600,600,700,,3275,143950,3670071,,31941,
Neighborhood Health Inglewood,8/25/2020,250,300,250,250,250,250,300,,1850,145800,3671921,,,
Neighborhood Health Cayce,8/25/2020,500,600,500,500,500,500,500,,3600,149400,3675521,,,
Neighborhood Health Cleveland,8/25/2020,500,500,550,500,500,500,500,,3550,152950,3679071,,,
Martha O'Bryan,8/26/2020,0,0,0,600,600,600,600,,2400,155350,3681471,,,
Stratford High School,8/26/2020,0,400,600,600,600,600,600,,3400,158750,3684871,,,
McGavock High School,8/26/2020,0,500,600,600,700,700,700,,3800,162550,3688671,,,
Madison Middle School,8/26/2020,0,0,0,0,300,300,0,,600,163150,3689271,,,
Neighborhood Health Madison,8/26/2020,750,750,800,800,750,750,800,,5400,168550,3694671,,,
Neighborhood Health Lebanon,8/26/2020,250,300,200,300,300,300,300,,1950,170500,3696621,,,
NICE Highlands Apartments,8/27/2020,200,500,600,600,700,700,700,,4000,174500,3700621,,,
Welshwood Clinic,8/27/2020,500,500,550,500,500,600,500,,3650,178150,3704271,,,
Connectus Priest Lake,8/27/2020,0,0,0,0,500,600,500,,1600,179750,3705871,"1,392,871",36240,
Neighborhood Health at Napier Place,8/31/2020,450,500,600,500,500,600,500,,3650,183400,3709521,3668,74190.42,"183,400"
Cole Elementary,9/1/2020,0,300,0,200,200,300,300,,1300,1300,3710821,,,3668
Haywood Elementary,9/1/2020,0,425,600,600,700,600,700,,3625,4925,3714446,,,59
Catholic Charities,9/1/2020,650,700,800,1000,1000,1000,1000,,6150,11075,3720596,,,
Hillwood High School,9/1/2020,0,0,400,600,600,600,600,,2800,13875,3723396,,,
McGavock High School,9/2/2020,,400,400,600,600,700,700,,3400,17275,3726796,,,
Andrea Hollis,9/2/2020,,,,,50,,,,50,17325,3726846,,,
Connectus Priest Lake,9/2/2020,,,,,650,600,600,,1850,19175,3728696,,,
Connectus Vine Hill,9/2/2020,0,0,0,600,600,600,600,,2400,21575,3731096,,,
Haywood Elementary,9/8/2020,0,400,600,600,600,600,500,,3300,24875,3734396,,,
Antioch High School,9/8/2020,300,0,300,300,0,0,0,,900,25775,3735296,,,
Glencliff High School,9/8/2020,0,200,300,300,300,300,300,,1700,27475,3736996,,,
Neighborhood Health Casa Azafran,9/8/2020,250,300,300,250,250,300,300,,1950,29425,3738946,,,
Hillwood High School,9/8/2020,0,0,150,500,600,600,500,,2350,31775,3741296,,,
McGavock High School,9/9/2020,0,400,450,600,600,750,700,,3500,35275,3744796,,,
Martha O'Bryan,9/9/2020,0,0,0,0,600,500,500,,1600,36875,3746396,,,
NICE Highlands Apartments,9/10/2020,325,425,600,600,600,600,750,,3900,40775,3750296,,,
Legacy Mission Village,9/10/2020,350,550,750,1500,2050,2000,2000,,9200,49975,3759496,,,
Antioch Middle School,9/10/2020,200,300,400,500,600,600,500,,3100,53075,3762596,,,
Stratford High School,9/10/2020,0,300,400,500,500,500,500,,2700,55775,3765296,,,
Down Syndrome Association-Middle Tn,9/10/2020,0,0,0,0,0,0,0,760,760,56535,3766056,,,
Tom Joy Elementary,9/10/2020,200,200,0,0,200,0,250,,850,57385,3766906,,,
J.E. Moss Elementary,9/11/2020,200,300,400,500,500,500,500,,2900,60285,3769806,,,
Jones Paideia Elementary Magnet School,9/11/2020,0,0,200,200,200,200,250,,1050,61335,3770856,"1,450,456",29009.12,
Haywood Elementary,9/14/2020,0,500,500,600,600,700,650,,3550,64885,3774406,,,
Catholic Charities,9/15/2020,650,700,750,1000,1000,1000,1000,,6100,70985,3780506,,,
Hillwood High School,9/15/2020,0,150,300,500,500,500,500,,2450,73435,3782956,,,
Connectus Priest Lake,9/16/2020,0,0,0,400,500,500,500,,1900,75335,3784856,,,
Robert Churchwell Elementary,9/16/2020,0,200,200,200,200,200,250,,1250,76585,3786106,,,
McGavock High School,9/16/2020,0,200,450,625,700,700,750,,3425,80010,3789531,,,
Shwab Elementary School,9/16/2020,150,300,150,250,100,200,150,,1300,81310,3790831,,,
Hillsboro High School,9/18/2020,0,0,225,0,0,0,0,,225,81535,3791056,,,
Hillwood High School,9/22/2020,0,400,600,700,700,750,750,,3900,85435,3794956,,,
Stratford High School,9/22/2020,0,300,450,500,400,500,500,,2650,88085,3797606,,,
Haywood Elementary,9/22/2020,0,500,500,600,600,600,600,,3400,91485,3801006,,,
Haywood Elementary,9/22/2020,0,72,284,296,404,294,598,,1948,93433,3802954,,,
First Presbyterian Church - Lebanon,9/22/2020,0,500,475,575,575,525,600,,3250,96683,3806204,,,
McGavock High School,9/23/2020,200,200,475,700,200,800,750,,3325,100008,3809529,,,
J.E. Moss Elementary,9/23/2020,0,200,200,600,200,650,600,,2450,102458,3811979,"1,495,329",,
Monroe Harding,9/24/2020,0,400,0,300,900,1500,2000,1020,6120,108578,3818099,,,
NICE Highlands Apartments,9/24/2020,300,400,600,750,600,750,750,,4150,112728,3822249,,,
Legacy Mission Village,9/24/2020,300,600,800,1500,2700,2500,2750,,11150,123878,3833399,,,
Martha O'Bryan,9/25/2020,0,0,0,0,600,750,750,,2100,125978,3835499,,,
Jones Paideia Elementary Magnet School,9/28/2020,0,150,150,200,200,200,200,,1100,127078,3836599,,,
Mercy Williamson County Clinic,9/28/2020,225,300,300,300,300,300,300,,2025,129103,3838624,,,
Mercy Marshall County Clinic,9/28/2020,225,300,300,300,300,300,300,,2025,131128,3840649,,,
McGruder Family Resource Center,9/29/2020,675,725,750,1000,1000,1000,1000,,6150,137278,3846799,,,
Robert Churchwell Elementary,9/29/2020,0,300,200,300,300,300,250,,1650,138928,3848449,,,
Hillwood High School,9/29/2020,0,525,500,700,700,725,750,,3900,142828,3852349,,,
Glenview Elementary,9/29/2020,0,200,200,200,200,250,250,,1300,144128,3853649,,,
Connectus Priest Lake,9/29/2020,0,0,0,600,600,600,600,,2400,146528,3856049,,,
Connectus Vine Hill,9/29/2020,0,0,0,600,600,600,600,,2400,148928,3858449,,,
J.E. Moss Elementary,9/29/2020,0,700,700,825,700,800,750,,4475,153403,3862924,"1,546,274",,"153,403"
Glencliff High School,10/1/2020,0,300,200,200,300,250,300,,1550,1550,3864474,,,3068.06
Hillwood High School,10/7/2020,0,500,400,400,800,1200,1250,,4550,4550,3869024,,,
Legacy Mission Village,10/8/2020,0,600,800,1500,2700,2750,2750,,11100,11100,3880124,,,52
NICE Highlands Apartments,10/8/2020,300,450,600,800,750,750,750,,4400,15500,3884524,,,
John Early Museum Magnet MS,10/12/2020,0,150,150,200,150,150,200,,1000,16500,3885524,,,
Pearl Cohn High School,10/12/2020,0,150,150,200,150,150,200,,1000,17500,3886524,,,
Robert Churchwell Elementary,10/12/2020,0,150,150,200,150,150,200,,1000,18500,3887524,,,
Hull Jackson Elementary,10/12/2020,0,150,150,200,150,150,200,,1000,19500,3888524,,,
Jones Paideia Elementary Magnet School,10/12/2020,0,150,150,200,150,150,200,,1000,20500,3889524,,,
Madison Middle School,10/12/2020,0,150,150,200,150,150,200,,1000,21500,3890524,,,
Maplewood High School,10/12/2020,0,150,150,200,150,150,200,,1000,22500,3891524,,,
Jere Baxter Middle School,10/12/2020,0,150,150,200,150,150,200,,1000,23500,3892524,,,
Hispanic Family Foundation,10/10/2020,0,5100,0,0,0,0,0,,5100,28600,3897624,,,
Mercy Williamson County Clinic,10/12/2020,225,200,300,200,200,0,0,,1125,29725,3898749,,,
Catholic Charities,10/13/2020,675,750,750,1000,1000,1000,1000,,6175,35900,3904924,,,
Haynes Middle School,10/13/2020,0,150,150,200,150,150,200,,1000,36900,3905924,,,
Alex Green Elementary,10/13/2020,0,150,150,200,150,150,200,,1000,37900,3906924,,,
Whites Creek High School,10/13/2020,0,150,150,200,150,150,200,,1000,38900,3907924,,,
Connectus Priest Lake,10/13/2020,0,600,600,600,600,750,750,,3900,42800,3911824,,,
Connectus Vine Hill,10/13/2020,0,0,600,600,600,750,750,,3300,46100,3915124,,,
McGavock High School,10/14/2020,0,450,450,600,600,750,750,,3600,49700,3918724,,,
Two Rivers Middle School,10/14/2020,0,150,150,200,150,150,200,,1000,50700,3919724,,,
KIPP Kirkpatrick Elementary,10/14/2020,0,150,150,200,150,150,200,,1000,51700,3920724,,,
Hillwood High School,10/14/2020,0,600,600,700,725,700,800,,4125,55825,3924849,,,
Martha O'Bryan,10/14/2020,0,0,0,600,600,600,650,,2450,58275,3927299,,,
Woodmont Baptist Church,10/14/2020,150,150,0,0,150,200,200,,850,59125,3928149,,,
Neighborhood Health Madison,10/15/2020,1250,1300,1000,1000,500,1250,1250,,7550,66675,3935699,"1,619,049",,
Nurses for Newborns,10/15/2020,0,0,0,300,200,200,0,,700,67375,3936399,,,
