LocationType,Location,TimeFrame,DataFormat,Data
County,Benton,2014,Percent,0.4182
County,Benton,2015,Number,1205.41667
County,Benton,2015,Percent,0.38182
County,Benton,2016,Number,1157.25
County,Benton,2016,Percent,0.36657
County,Benton,2017,Number,1258
County,Benton,2017,Percent,0.40699
County,Benton,2018,Number,1082.75
County,Benton,2018,Percent,0.3371
County,Benton,2019,Number,1096
County,Benton,2019,Percent,0.34455
County,Bledsoe,1999,Percent,0.225
County,Bledsoe,2000,Percent,0.235
County,Bledsoe,2001,Percent,0.204
County,Bledsoe,2002,Percent,0.224
County,Bledsoe,2003,Percent,0.248
County,Bledsoe,2004,Percent,0.281
County,Bledsoe,2005,Percent,0.31
County,Bledsoe,2006,Percent,0.315
County,Bledsoe,2007,Percent,0.3383
County,Bledsoe,2008,Percent,0.362
County,Bledsoe,2009,Percent,0.41029
County,Bledsoe,1999,Number,541
County,Bledsoe,2000,Number,565
County,Bledsoe,2001,Number,583
County,Bledsoe,2002,Number,651
County,Bledsoe,2003,Number,731
County,Bledsoe,2004,Number,837
County,Bledsoe,2005,Number,934
County,Bledsoe,2006,Number,952
County,Bledsoe,2007,Number,1010
County,Bledsoe,2008,Number,1020
County,Bledsoe,2009,Number,1163
County,Bledsoe,2010,Number,1241
County,Bledsoe,2010,Percent,0.44849
County,Bledsoe,2011,Number,1288.25
County,Bledsoe,2011,Percent,0.48123
County,Bledsoe,2012,Number,1275.5
County,Bledsoe,2012,Percent,0.48314
County,Bledsoe,2013,Number,1262.66667
County,Bledsoe,2013,Percent,0.5137
County,Bledsoe,2014,Number,1206.58333
County,Bledsoe,2014,Percent,0.50718
County,Bledsoe,2015,Number,1141.66667
County,Bledsoe,2015,Percent,0.48727
County,Bledsoe,2016,Number,1146.16667
County,Bledsoe,2016,Percent,0.48919
County,Bledsoe,2017,Number,1172.33333
County,Bledsoe,2017,Percent,0.50532
County,Bledsoe,2018,Number,934.33333
County,Bledsoe,2018,Percent,0.42106
County,Bledsoe,2019,Number,946
County,Bledsoe,2019,Percent,0.43715
County,Blount,1999,Percent,0.13
County,Blount,2000,Percent,0.134
County,Blount,2001,Percent,0.135
County,Blount,2002,Percent,0.153
County,Blount,2003,Percent,0.186
County,Blount,2004,Percent,0.206
County,Blount,2005,Percent,0.213
County,Blount,2006,Percent,0.218
County,Blount,2007,Percent,0.19952
County,Blount,2008,Percent,0.223
County,Blount,2009,Percent,0.25982
County,Blount,1999,Number,3019
County,Blount,2000,Number,3150
County,Blount,2001,Number,3260
County,Blount,2002,Number,3762
County,Blount,2003,Number,4594
County,Blount,2004,Number,5145
County,Blount,2005,Number,5360
County,Blount,2006,Number,5516
County,Blount,2007,Number,5521
County,Blount,2008,Number,5826
County,Blount,2009,Number,6825
County,Blount,2010,Number,7627
County,Blount,2010,Percent,0.27862
County,Blount,2011,Number,7626.83333
County,Blount,2011,Percent,0.28388
County,Blount,2012,Number,7755.83333
County,Blount,2012,Percent,0.29208
County,Blount,2013,Number,7851.66667
County,Blount,2013,Percent,0.29652
County,Blount,2014,Number,7674.16667
County,Blount,2014,Percent,0.29112
County,Blount,2015,Number,7298.66667
County,Blount,2015,Percent,0.27738
County,Blount,2016,Number,6776.75
County,Blount,2016,Percent,0.25754
County,Blount,2017,Number,6780.58333
County,Blount,2017,Percent,0.25798
County,Blount,2018,Number,5428.25
County,Blount,2018,Percent,0.20618
County,Blount,2019,Number,4987
County,Blount,2019,Percent,0.18922
County,Bradley,1999,Percent,0.122
County,Bradley,2000,Percent,0.131
County,Bradley,2001,Percent,0.13
County,Bradley,2002,Percent,0.152
County,Bradley,2003,Percent,0.188
County,Bradley,2004,Percent,0.219
County,Bradley,2005,Percent,0.236
County,Bradley,2006,Percent,0.243
County,Bradley,2007,Percent,0.24094
County,Bradley,2008,Percent,0.271
County,Bradley,2009,Percent,0.33221
County,Bradley,1999,Number,2419
County,Bradley,2000,Number,2611
County,Bradley,2001,Number,2718
County,Bradley,2002,Number,3235
County,Bradley,2003,Number,4050
County,Bradley,2004,Number,4754
County,Bradley,2005,Number,5202
County,Bradley,2006,Number,5393
County,Bradley,2007,Number,5497
County,Bradley,2008,Number,5866
County,Bradley,2009,Number,7268
County,Bradley,2010,Number,8282
County,Bradley,2010,Percent,0.36428
County,Bradley,2011,Number,7952.75
County,Bradley,2011,Percent,0.34573
County,Bradley,2012,Number,8084.16667
County,Bradley,2012,Percent,0.35214
County,Bradley,2013,Number,7914.08333
County,Bradley,2013,Percent,0.34423
County,Bradley,2014,Number,7823.91667
County,Bradley,2014,Percent,0.33808
County,Bradley,2015,Number,7520.58333
County,Bradley,2015,Percent,0.32262
County,Bradley,2016,Number,7099.83333
County,Bradley,2016,Percent,0.30457
County,Bradley,2017,Number,7204.58333
County,Bradley,2017,Percent,0.30909
County,Bradley,2018,Number,6488.25
County,Bradley,2018,Percent,0.27722
County,Bradley,2019,Number,6569
County,Bradley,2019,Percent,0.27731
County,Campbell,1999,Percent,0.29
County,Campbell,2000,Percent,0.297
County,Campbell,2001,Percent,0.307
County,Campbell,2002,Percent,0.333
County,Campbell,2003,Percent,0.383
County,Campbell,2004,Percent,0.417
County,Campbell,2005,Percent,0.418
County,Campbell,2006,Percent,0.409
County,Campbell,2007,Percent,0.38051
County,Campbell,2008,Percent,0.409
County,Campbell,2009,Percent,0.45234
County,Campbell,1999,Number,2662
County,Campbell,2000,Number,2729
County,Campbell,2001,Number,2798
County,Campbell,2002,Number,3030
County,Campbell,2003,Number,3483
County,Campbell,2004,Number,3796
County,Campbell,2005,Number,3803
County,Campbell,2006,Number,3714
County,Campbell,2007,Number,3600
County,Campbell,2008,Number,3649
County,Campbell,2009,Number,4034
County,Campbell,2010,Number,4409
County,Campbell,2010,Percent,0.49271
County,Campbell,2011,Number,4403.08333
County,Campbell,2011,Percent,0.5039
County,Campbell,2012,Number,4326.66667
County,Campbell,2012,Percent,0.50634
County,Campbell,2013,Number,4210.75
County,Campbell,2013,Percent,0.4995
County,Campbell,2014,Number,4119.83333
County,Campbell,2014,Percent,0.49637
County,Campbell,2015,Number,3895.08333
County,Campbell,2015,Percent,0.47857
County,Campbell,2016,Number,3732.58333
County,Campbell,2016,Percent,0.4586
County,Campbell,2017,Number,4127.41667
County,Campbell,2017,Percent,0.51362
County,Campbell,2018,Number,3305.33333
County,Campbell,2018,Percent,0.41126
County,Campbell,2019,Number,3188
County,Campbell,2019,Percent,0.39775
County,Cannon,1999,Percent,0.128
County,Cannon,2000,Percent,0.145
County,Cannon,2001,Percent,0.151
County,Cannon,2002,Percent,0.179
County,Cannon,2003,Percent,0.203
County,Cannon,2004,Percent,0.227
County,Cannon,2005,Percent,0.24
County,Cannon,2006,Percent,0.242
County,Cannon,2007,Percent,0.2487
County,Cannon,2008,Percent,0.284
County,Cannon,2009,Percent,0.3377
County,Cannon,1999,Number,395
County,Cannon,2000,Number,455
County,Cannon,2001,Number,493
County,Cannon,2002,Number,594
County,Cannon,2003,Number,677
County,Cannon,2004,Number,767
County,Cannon,2005,Number,817
County,Cannon,2006,Number,829
County,Cannon,2007,Number,828
County,Cannon,2008,Number,894
County,Cannon,2009,Number,1071
County,Cannon,2010,Number,1212
County,Cannon,2010,Percent,0.39095
County,Cannon,2011,Number,1225.75
